TimePoints,MeanG0,MeanG2,MeanG20,SDG0,SDG2,SDG20
0,0.04443333333,0.04156666667,0.04156666667,0.002482606158,0.004965212315,0.00993042463
1,0.05876666667,0.05733333333,0.05876666667,0.006568358496,0.006568358496,0.0179023276
2,0.1060666667,0.1318666667,0.1161,0.006568358496,0.004965212315,0.03100774097
3,0.1763,0.2322,0.2408,0.01137673064,0.04468691084,0.0919235008
4,0.3153333333,0.4156666667,0.4443333333,0.02482606158,0.06568358496,0.06568358496
5,0.387,0.6163333333,0.6163333333,0.00,0.06568358496,0.06568358496
6,0.4156666667,0.7596666667,0.7596666667,0.02482606158,0.04965212315,0.08951163798
7,0.4443333333,0.7883333333,0.903,0.02482606158,0.02482606158,0.1137673064
8,0.43,0.774,0.946,0.00,0.00,0.07447818473
9,0.4443333333,0.774,1.017666667,0.02482606158,0.043,0.02482606158
10,0.4443333333,0.7453333333,1.060666667,0.02482606158,0.02482606158,0.02482606158
11,0.4586666667,0.7453333333,1.118,0.02482606158,0.02482606158,0.043
12,0.4443333333,0.7166666667,1.132333333,0.02482606158,0.02482606158,0.08951163798
24,0.387,0.602,1.118,0.043,0.043,0
