Metabolites,Temps,R1,R2,R3,Mean,SD,Media,Reaction
Lactose,T0,0.4970760234,0.4678362573,0.4678362573,0.477582846,0.01688158683,G0,EX_lcts(e)
Lactose,T6,0.4093567251,0.4093567251,0.350877193,0.3898635477,0.0337631736,G0,EX_lcts(e)
Lactose,T12,0.4093567251,0.3801169591,0.3801169591,0.3898635478,0.01688158677,G0,EX_lcts(e)
Lactose,T24,0.4093567251,0.4093567251,0.4093567251,0.4093567251,0,G0,EX_lcts(e)
Lactose,T0,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0,G2,EX_lcts(e)
Lactose,T6,0.4385964912,0.4093567251,0.4093567251,0.4191033138,0.01688158683,G2,EX_lcts(e)
Lactose,T12,0.4093567251,0.4093567251,0.4093567251,0.4093567251,0,G2,EX_lcts(e)
Lactose,T24,0.4385964912,0.4385964912,0.4093567251,0.4288499025,0.01688158683,G2,EX_lcts(e)
Lactose,T0,1.081871345,1.052631579,1.052631579,1.062378168,0.01688158677,G20,EX_lcts(e)
Lactose,T6,0.8187134503,0.7602339181,0.7894736842,0.7894736842,0.0292397661,G20,EX_lcts(e)
Lactose,T12,0.6725146199,0.6432748538,0.6432748538,0.6530214425,0.01688158683,G20,EX_lcts(e)
Lactose,T24,0.5847953216,0.5847953216,0.5847953216,0.5847953216,0,G20,EX_lcts(e)
Glucose,T0,29.88888889,29.11111111,29.55555556,29.51851852,0.3902093996,G0,EX_glc_D(e)
Glucose,T6,24.27777778,24.05555556,21.05555556,23.12962963,1.799634164,G0,EX_glc_D(e)
Glucose,T12,16.77777778,16.11111111,16.5,16.46296296,0.334872989,G0,EX_glc_D(e)
Glucose,T24,13.55555556,12.5,14.16666667,13.40740741,0.8431520343,G0,EX_glc_D(e)
Glucose,T0,29.27777778,28.88888889,28.55555556,28.90740741,0.36146706,G2,EX_glc_D(e)
Glucose,T6,20.72222222,20,17.66666667,19.46296296,1.597000787,G2,EX_glc_D(e)
Glucose,T12,12.94444444,11.5,12.5,12.31481481,0.7398142335,G2,EX_glc_D(e)
Glucose,T24,12.77777778,10.94444444,11.61111111,11.77777778,0.9279607304,G2,EX_glc_D(e)
Glucose,T0,28.72222222,28.72222222,28.16666667,28.53703704,0.3207501463,G20,EX_glc_D(e)
Glucose,T6,20.77777778,17.61111111,18.16666667,18.85185185,1.690873591,G20,EX_glc_D(e)
Glucose,T12,5.833333333,5.055555556,4.722222222,5.203703704,0.5701779376,G20,EX_glc_D(e)
Glucose,T24,0.3888888889,0.1111111111,0.1666666667,0.2222222222,0.146986184,G20,EX_glc_D(e)
Succinate,T0,8.050847458,7.881355932,7.796610169,7.90960452,0.1294512913,G0,EX_succ(e)
Succinate,T6,12.28813559,13.13559322,11.61016949,12.34463277,0.7642796198,G0,EX_succ(e)
Succinate,T12,19.66101695,19.57627119,18.98305085,19.40677966,0.3693982152,G0,EX_succ(e)
Succinate,T24,21.77966102,22.62711864,21.61016949,22.00564972,0.5448390236,G0,EX_succ(e)
Succinate,T0,7.796610169,7.796610169,7.881355932,7.824858757,0.04892798908,G2,EX_succ(e)
Succinate,T6,15.93220339,15.6779661,18.72881356,16.77966102,1.692795285,G2,EX_succ(e)
Succinate,T12,24.3220339,24.3220339,24.15254237,24.26553672,0.09785598047,G2,EX_succ(e)
Succinate,T24,26.3559322,26.18644068,24.91525424,25.81920904,0.787421459,G2,EX_succ(e)
Succinate,T0,7.627118644,7.457627119,7.372881356,7.485875706,0.1294512907,G20,EX_succ(e)
Succinate,T6,13.05084746,15.25423729,14.49152542,14.26553672,1.118943633,G20,EX_succ(e)
Succinate,T12,24.57627119,25.50847458,26.61016949,25.56497175,1.018125494,G20,EX_succ(e)
Succinate,T24,33.81355932,34.23728814,34.91525424,34.3220339,0.5557151312,G20,EX_succ(e)
Lactate,T0,0.6666666667,0.5555555556,0.5555555556,0.5925925926,0.0641500299,G0,EX_lac_D(e)
Lactate,T6,0.4444444444,0.6666666667,0.5555555556,0.5555555556,0.1111111112,G0,EX_lac_D(e)
Lactate,T12,2.222222222,2.222222222,2.333333333,2.259259259,0.06415002985,G0,EX_lac_D(e)
Lactate,T24,4.222222222,4.333333333,4,4.185185185,0.1697250256,G0,EX_lac_D(e)
Lactate,T0,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0,G2,EX_lac_D(e)
Lactate,T6,0.6666666667,0.8888888889,0.7777777778,0.7777777778,0.1111111111,G2,EX_lac_D(e)
Lactate,T12,2,2.222222222,1.888888889,2.037037037,0.1697250256,G2,EX_lac_D(e)
Lactate,T24,3,3.111111111,2.777777778,2.962962963,0.1697250256,G2,EX_lac_D(e)
Lactate,T0,0.5555555556,0.5555555556,0.3333333333,0.4814814815,0.1283000599,G20,EX_lac_D(e)
Lactate,T6,0.7777777778,0.8888888889,0.6666666667,0.7777777778,0.1111111111,G20,EX_lac_D(e)
Lactate,T12,2.333333333,1.888888889,1.777777778,2,0.2939723676,G20,EX_lac_D(e)
Lactate,T24,3.444444444,2.888888889,2.555555556,2.962962963,0.4490502089,G20,EX_lac_D(e)
Acetate,T0,1,1,0.8333333333,0.9444444444,0.09622504488,G0,EX_ac(e)
Acetate,T6,5,5.333333333,4.666666667,5,0.333333333,G0,EX_ac(e)
Acetate,T12,10.83333333,11,10.5,10.77777778,0.2545875382,G0,EX_ac(e)
Acetate,T24,13.33333333,13.66666667,13,13.33333333,0.333333335,G0,EX_ac(e)
Acetate,T0,1,1,1.166666667,1.055555556,0.09622504506,G2,EX_ac(e)
Acetate,T6,8.333333333,8,10.33333333,8.888888888,1.261979631,G2,EX_ac(e)
Acetate,T12,15.16666667,15.66666667,15.16666667,15.33333334,0.2886751346,G2,EX_ac(e)
Acetate,T24,15.83333333,16.33333333,14.83333333,15.66666666,0.7637626158,G2,EX_ac(e)
Acetate,T0,0.8333333333,0.8333333333,1,0.8888888889,0.09622504488,G20,EX_ac(e)
Acetate,T6,6.333333333,8.666666667,7.666666667,7.555555556,1.170628195,G20,EX_ac(e)
Acetate,T12,16.33333333,17.33333333,17.33333333,17,0.5773502692,G20,EX_ac(e)
Acetate,T24,20.83333333,21,21.33333333,21.05555555,0.2545875382,G20,EX_ac(e)
Propionate,T0,0.5405405405,0.5405405405,0.5405405405,0.5405405405,0,G0,EX_ppa(e)
Propionate,T6,1.081081081,1.081081081,1.081081081,1.081081081,0,G0,EX_ppa(e)
Propionate,T12,2.432432432,2.432432432,2.837837838,2.567567567,0.2340609203,G0,EX_ppa(e)
Propionate,T24,2.567567568,2.567567568,2.837837838,2.657657658,0.1560406131,G0,EX_ppa(e)
Propionate,T0,0.5405405405,0.4054054054,0.5405405405,0.4954954955,0.07802030663,G2,EX_ppa(e)
Propionate,T6,1.216216216,1.081081081,1.081081081,1.126126126,0.07802030657,G2,EX_ppa(e)
Propionate,T12,2.432432432,1.891891892,2.027027027,2.117117117,0.2813062159,G2,EX_ppa(e)
Propionate,T24,2.027027027,1.756756757,1.621621622,1.801801802,0.2064223284,G2,EX_ppa(e)
Propionate,T0,0.5405405405,0.4054054054,0,0.3153153153,0.2813062161,G20,EX_ppa(e)
Propionate,T6,1.621621622,1.216216216,0.9459459459,1.261261261,0.3400826325,G20,EX_ppa(e)
Propionate,T12,3.513513514,2.567567568,2.162162162,2.747747748,0.6934596543,G20,EX_ppa(e)
Propionate,T24,4.72972973,4.189189189,4.054054054,4.324324324,0.3575339612,G20,EX_ppa(e)
Protein,T0,0.5289885738,0.5007758499,0.5113556214,0.5137066817,0.0142525457678649,G0,EX_WheyProtein_e
Protein,T6,0.458456764,0.4690365355,0.4901960784,0.472563125966667,0.0161608678568077,G0,EX_WheyProtein_e
Protein,T12,0.3879249542,0.4055579066,0.4126110876,0.402031316133333,0.0127153028198442,G0,EX_WheyProtein_e
Protein,T24,0.3385526873,0.3350260968,0.3526590492,0.342079277766667,0.00933048138226827,G0,EX_WheyProtein_e
Protein,T0,0.5889406122,0.5818874312,0.6312596981,0.600695913833333,0.026702912239664,G2,EX_WheyProtein_e
Protein,T6,0.5113556214,0.5113556214,0.5642544788,0.528988573866667,0.0305411695597136,G2,EX_WheyProtein_e
Protein,T12,0.4972492594,0.4337706306,0.4866694879,0.472563125966667,0.0340092070449708,G2,EX_WheyProtein_e
Protein,T24,0.3879249542,0.4090844971,0.4231908591,0.4067334368,0.0177501162110178,G2,EX_WheyProtein_e
Protein,T0,1.537593455,1.481168007,1.608125264,1.54229557533333,0.0636091088442753,G20,EX_WheyProtein_e
Protein,T6,1.382423473,1.389476654,1.537593455,1.43649786066667,0.0876223500926682,G20,EX_WheyProtein_e
Protein,T12,1.354210749,1.354210749,1.50232755,1.403583016,0.0855152749288562,G20,EX_WheyProtein_e
Protein,T24,1.333051206,1.29073212,1.382423473,1.33540226633333,0.0458908669264472,G20,EX_WheyProtein_e
